code,frequency,chapter
Z91.81,368,Factors influencing health
E78.5,283,Endocrine/Metabolic
M10.33,207,Musculoskeletal
E03.9,193,Endocrine/Metabolic
I13.0,187,Circulatory system
M17.00,174,Musculoskeletal
K21.9,173,Digestive system
I25.10,166,Circulatory system
Z55.6,161,Factors influencing health
N18.2,153,Genitourinary
I10,130,Circulatory system
E11.22,129,Endocrine/Metabolic
I70.0,126,Circulatory system
I50.32,125,Circulatory system
G30.1,121,Nervous system
M17.10,121,Musculoskeletal
Z79.82,117,Factors influencing health
M62.81,116,Musculoskeletal
G31.1,116,Nervous system
Z79.01,116,Factors influencing health
I67.9,113,Circulatory system
N18.31,110,Genitourinary
G89.29,110,Nervous system
Z79.899,102,Factors influencing health
M81.0,99,Musculoskeletal
Z99.3,96,Factors influencing health
M17.40,94,Musculoskeletal
G47.00,88,Nervous system
R26.81,88,Symptoms/Signs
J44.9,83,Respiratory system
Z99.81,83,Factors influencing health
G47.33,81,Nervous system
Z87.440,81,Factors influencing health
A12.50,79,Infectious diseases
B13.00,79,Infectious diseases
Z79.84,79,Factors influencing health
G62.9,78,Nervous system
E26.1,78,Endocrine/Metabolic
M17.20,75,Musculoskeletal
I12.9,75,Circulatory system
F32.A,74,Mental disorders
I13.10,73,Circulatory system
F41.1,73,Mental disorders
F41.9,73,Mental disorders
I73.9,71,Circulatory system
Z87.891,69,Factors influencing health
I48.0,68,Circulatory system
M19.90,68,Musculoskeletal
B20.0,67,Infectious diseases
B12,65,Infectious diseases
Z60.4,64,Factors influencing health
I27.20,64,Circulatory system
Z86.73,63,Factors influencing health
I87.2,62,Circulatory system
F33.1,62,Mental disorders
K59.00,59,Digestive system
M15.0,59,Musculoskeletal
E11.51,59,Endocrine/Metabolic
E78.2,58,Endocrine/Metabolic
R41.841,55,Symptoms/Signs
N40.0,55,Genitourinary
E55.9,55,Endocrine/Metabolic
N18.32,52,Genitourinary
N18.9,52,Genitourinary
R26.89,52,Symptoms/Signs
I48.91,51,Circulatory system
Z79.4,50,Factors influencing health
D63.1,50,Neoplasms/Blood diseases
G31.84,50,Nervous system
R29.6,49,Symptoms/Signs
Z46.6,49,Factors influencing health
I50.9,49,Circulatory system
J96.11,49,Respiratory system
E11.42,47,Endocrine/Metabolic
D68.69,47,Neoplasms/Blood diseases
M15.9,47,Musculoskeletal
Z79.891,44,Factors influencing health
R26.2,43,Symptoms/Signs
E11.9,43,Endocrine/Metabolic
N40.1,43,Genitourinary
Z79.51,42,Factors influencing health
N32.81,42,Genitourinary
E66.01,42,Endocrine/Metabolic
N39.0,41,Genitourinary
Z99.89,40,Factors influencing health
I89.0,40,Circulatory system
D07.00,40,Neoplasms/Blood diseases
Z79.2,39,Factors influencing health
F03.90,38,Mental disorders
E11.69,37,Endocrine/Metabolic
M54.50,36,Musculoskeletal
E11.65,36,Endocrine/Metabolic
M48.061,34,Musculoskeletal
I25.2,34,Circulatory system
Z86.718,34,Factors influencing health
H40.9,34,Eye/Ear
D50.9,34,Neoplasms/Blood diseases
Z74.1,34,Factors influencing health
G20.A1,33,Nervous system
D18.3,33,Neoplasms/Blood diseases
Z95.0,32,Factors influencing health
Z79.02,32,Factors influencing health
N17.9,31,Genitourinary
N18.1,31,Genitourinary
G89.4,31,Nervous system
N18.4,31,Genitourinary
Z87.01,30,Factors influencing health
E11.40,30,Endocrine/Metabolic
R53.1,30,Symptoms/Signs
I11.0,30,Circulatory system
G30.9,30,Nervous system
F02.B3,30,Mental disorders
Z74.09,29,Factors influencing health
E66.9,29,Endocrine/Metabolic
R73.03,29,Symptoms/Signs
F02.80,29,Mental disorders
W19.XXXD,29,External causes
O02,28,Pregnancy
D64.9,28,Neoplasms/Blood diseases
G25.81,28,Nervous system
H35.30,27,Eye/Ear
R13.10,27,Symptoms/Signs
R13.12,27,Symptoms/Signs
E44.0,27,Endocrine/Metabolic
G40.909,26,Nervous system
Z86.711,26,Factors influencing health
F33.9,26,Mental disorders
R27.8,25,Symptoms/Signs
F02.83,25,Mental disorders
Z45.2,25,Factors influencing health
F02.B11,25,Mental disorders
F33.41,25,Mental disorders
M17.0,25,Musculoskeletal
J43.9,25,Respiratory system
J96.01,24,Respiratory system
E46,24,Endocrine/Metabolic
M47.816,24,Musculoskeletal
R33.9,23,Symptoms/Signs
M79.7,23,Musculoskeletal
Z59.82,23,Factors influencing health
Z85.828,23,Factors influencing health
M11.00,22,Musculoskeletal
H91.90,22,Eye/Ear
Z90.49,22,Factors influencing health
G93.41,22,Nervous system
I50.22,22,Circulatory system
E43,22,Endocrine/Metabolic
M85.80,22,Musculoskeletal
M17.30,21,Musculoskeletal
M10.9,21,Musculoskeletal
Z85.3,21,Factors influencing health
I95.1,21,Circulatory system
E78.00,21,Endocrine/Metabolic
R33.8,21,Symptoms/Signs
G02.83,21,Nervous system
J30.9,21,Respiratory system
M06.9,21,Musculoskeletal
I50.30,21,Circulatory system
F32.9,20,Mental disorders
M20.20,20,Musculoskeletal
Z86.16,20,Factors influencing health
I42.9,20,Circulatory system
J30.2,20,Respiratory system
R32,20,Symptoms/Signs
K59.09,20,Digestive system
F01.B3,20,Mental disorders
Z96.641,19,Factors influencing health
J45.909,19,Respiratory system
F17.210,19,Mental disorders
F31.9,19,Mental disorders
Z79.52,19,Factors influencing health
N31.9,19,Genitourinary
Z96.652,19,Factors influencing health
Z79.1,19,Factors influencing health
R26.9,19,Symptoms/Signs
Z95.5,19,Factors influencing health
E44.1,18,Endocrine/Metabolic
N18.30,18,Genitourinary
I49.5,18,Circulatory system
Z90.710,18,Factors influencing health
F51.04,18,Mental disorders
M54.2,18,Musculoskeletal
G43.909,18,Nervous system
F02.B4,18,Mental disorders
M11.00B,18,Musculoskeletal
E53.8,18,Endocrine/Metabolic
Z85.46,18,Factors influencing health
I69.354,18,Circulatory system
D05.8,18,Neoplasms/Blood diseases
C05.1,17,Neoplasms
Z95.1,17,Factors influencing health
G20.C,17,Nervous system
R53.81,16,Symptoms/Signs
F33.0,16,Mental disorders
E87.6,16,Endocrine/Metabolic
K57.90,16,Digestive system
E87.1,16,Endocrine/Metabolic
Z79.85,16,Factors influencing health
Z48.00,16,Factors influencing health
L03.115,16,Skin diseases
I11.9,16,Circulatory system
F01.B4,15,Mental disorders
A41.9,15,Infectious diseases
J44.89,15,Respiratory system
I50.33,15,Circulatory system
I69.351,15,Circulatory system
F02.B18,15,Mental disorders
K58.9,15,Digestive system
H91.93,15,Eye/Ear
G25.0,15,Nervous system
Z96.642,15,Factors influencing health
